Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:aws:ecs:serviceName,Tag:aws:ecs:clusterName,Tag:Name
eni-0d127bfa9f8d9a4d3,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0d127bfa9f8d9a4d3,ec2:network-interface,us-east-1,480699501737,2023-12-14T16:40:35Z,ec2,2,brs-portal-api-stage,albatross-stage-cluster,(not tagged)
eni-04dfed42cba6028e7,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-04dfed42cba6028e7,ec2:network-interface,us-east-1,480699501737,2023-12-13T03:47:58Z,ec2,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
awsrds-blueraven-prod-pg-replica-High-CPU-Utilization,arn:aws:cloudwatch:us-east-1:480699501737:alarm:awsrds-blueraven-prod-pg-replica-High-CPU-Utilization,cloudwatch:alarm,us-east-1,480699501737,2023-12-15T01:52:31Z,cloudwatch,-,(not tagged),(not tagged),(not tagged)
awsrds-blueraven-prod-pg-replica-High-Replica-Lag,arn:aws:cloudwatch:us-east-1:480699501737:alarm:awsrds-blueraven-prod-pg-replica-High-Replica-Lag,cloudwatch:alarm,us-east-1,480699501737,2023-12-15T01:52:31Z,cloudwatch,-,(not tagged),(not tagged),(not tagged)
albatross-prod-cluster/b00cade7a5e142ba9388dd633c38be8b,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/b00cade7a5e142ba9388dd633c38be8b,ecs:task,us-east-1,480699501737,2023-12-13T08:50:14Z,ecs,2,albatross-prod-cron-service,albatross-prod-cluster,(not tagged)
eni-0215c1910c9b6a5c9,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0215c1910c9b6a5c9,ec2:network-interface,us-east-1,480699501737,2023-11-30T18:31:33Z,ec2,2,albatross-flux-service,albatross-flux-cluster,(not tagged)
albatross-uat-cluster/346d771b79d445549a1cbb53f2f45710,arn:aws:ecs:us-east-1:480699501737:task/albatross-uat-cluster/346d771b79d445549a1cbb53f2f45710,ecs:task,us-east-1,480699501737,2023-12-08T11:26:20Z,ecs,2,albatross-uat-service,albatross-uat-cluster,(not tagged)
eni-0c4fa984598df5d03,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0c4fa984598df5d03,ec2:network-interface,us-east-1,480699501737,2023-12-13T03:47:58Z,ec2,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
mgmt.myblueraven.com,arn:aws:iam::480699501737:oidc-provider/mgmt.myblueraven.com,iam:oidc-provider,global,480699501737,2023-12-15T01:52:34Z,iam,0,(not tagged),(not tagged),(not tagged)
eni-06aff3cbe1f5c3f75,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-06aff3cbe1f5c3f75,ec2:network-interface,us-east-1,480699501737,2023-12-11T14:02:48Z,ec2,2,brs-portal-api-prod,albatross-prod-cluster,(not tagged)
albatross-stage-cluster/d77e07595f244909841ae56400178bda,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/d77e07595f244909841ae56400178bda,ecs:task,us-east-1,480699501737,2023-12-15T00:44:56Z,ecs,2,albatross-stage-service,albatross-stage-cluster,(not tagged)
grafana-fargate-cluster/10fb1b417c9f4acc9d61d7cb75e6c7d3,arn:aws:ecs:us-east-1:480699501737:task/grafana-fargate-cluster/10fb1b417c9f4acc9d61d7cb75e6c7d3,ecs:task,us-east-1,480699501737,2023-12-15T00:03:53Z,ecs,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
albatross-stage-cluster/ae5c71e9072241edbd9616b633d3e0b6,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/ae5c71e9072241edbd9616b633d3e0b6,ecs:task,us-east-1,480699501737,2023-12-15T00:38:48Z,ecs,2,albatross-stage-cron-service,albatross-stage-cluster,(not tagged)
